rebalanced_slabs,n_rebalanced_slabs,miss_ratio,throughput,n_alloc_failures,trace_name,number_of_requests,wsr,slab_size,slab_cnt,rebalance_strategy,allocator,tag,monitor_interval,uuid,qps,wss,number_of_objects,file_name,memory_requirement,compulsory_miss_ratio_byte,max_req_size,max_obj_size,trace_file,time_span,purpose,min_req_size,number_of_req_GiB,cpu_requirement,download_path,category,compulsory_miss_ratio_req,number_of_obj_GiB,num_slab_classes,frequency_mean,min_obj_size,poolRebalanceIntervalSec,lru2qColdPct,thresholdMI,mhMovingAverageParam,mhMinDiff,rebalanceOnRecordAccess,countColdTailHitsOnly,rebalanceStrategy,rebalanceDiffRatio,lruRefreshSec,allocFactor,mhOnlyUpdateHitIfRebalance,minRequestsObserved,thresholdAI,minAllocSize,maxAllocSize,lamaMinThreshold,cacheSizeMB,lru2qHotPct,maxDecayInterval,mhMinDiffRatio,poolResizeIntervalSec,emrHigh,emrLow,moveOnSlabRelease,thresholdAD,thresholdMD,enableLookaside,onlySetIfMiss,replayGeneratorConfig,generator,numThreads,zstdTrace,repeatTraceReplay,compressed,numOps,ignoreLargeReq,repeatOpCount,timestampFactor,traceFileName,useTraceTimer,prepopulateCache,base_dir,miss_ratio_reduction_from_disabled,miss_ratio_reduction_from_lru_disabled,tuned_improvement
1462,1267,0.07955778756474448,48441.91645616685,283876,meta_202210_kv,1482478166,0.005,4,110,lama,LRU,,1000000,meta_202210_kv-ed13e849b21af3ca18c86ff8e7708c0b,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,0.0,,,,True,,lama,,0,1.25,,,,72,4194304,1e-05,444,100.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.044035384464475136,0.044035384464475136,
275,275,0.08692411258082569,934790.175207138,0,meta_202210_kv,1482478166,0.005,4,110,eviction-rate,LRU,,50000,meta_202210_kv-81facbaecacf421c93f2639ee6173e2c,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,0.0,,,,True,,eviction-rate,0.1,0,1.25,,,,72,4194304,,444,100.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.03666905944839392,0.03666905944839392,
0,0,0.12359317202921961,958388.0197019364,0,meta_202210_kv,1482478166,0.005,4,110,free-mem,LRU,,50000,meta_202210_kv-6dd35992159e50c523bf38343e8c9f17,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,0.0,,,,True,,free-mem,,0,1.25,,,,72,4194304,,444,100.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.0,0.0,
1324,1324,0.11971972206435855,550745.9326289762,0,meta_202210_kv,1482478166,0.005,4,110,tail-age,LRU,,50000,meta_202210_kv-5ac7580d6daaf5960841a8968e5837c5,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,0.0,,,,True,,tail-age,0.25,0,1.25,,,,72,4194304,,444,100.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.003873449964861067,0.003873449964861067,
6473,6473,0.07845282289304219,813724.642948844,0,meta_202210_kv,1482478166,0.005,4,110,hits,LRU,,50000,meta_202210_kv-d6216dd1a8a4ac6c304ab815f073e645,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,0.0,,,,True,,hits,0.1,0,1.25,,,,72,4194304,,444,100.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.04514034913617743,0.04514034913617743,
0,0,0.12359317202921961,843104.4624065582,0,meta_202210_kv,1482478166,0.005,4,110,disabled,LRU,,50000,meta_202210_kv-656cd03309b9183d786b4742404e47f0,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,0.0,,,,True,,disabled,,0,1.25,,,,72,4194304,,444,100.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.0,0.0,
192,192,0.07496256305740424,871832.1686675365,0,meta_202210_kv,1482478166,0.005,4,110,marginal-hits-tuned,LRU,,50000,meta_202210_kv-cdb1ea2eb4c3adbb1701de546727210a,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,0.0,False,0.3,2.0,True,,marginal-hits-new,,0,1.25,True,50000.0,True,72,4194304,,444,100.0,50000.0,0.0,0,0.95,0.5,False,False,True,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.04863060897181537,0.04863060897181537,0.007538550149547366
29614,29614,0.08250111320695161,628195.1785370572,0,meta_202210_kv,1482478166,0.005,4,110,marginal-hits,LRU,,50000,meta_202210_kv-2a5528c133f6ed23c9af332c671c9e77,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,0.0,,0.3,,True,,marginal-hits-old,,0,1.25,,,,72,4194304,,444,100.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.041092058822268004,0.041092058822268004,
1478,1269,0.07722758731004474,47052.45291901715,266238,meta_202210_kv,1482478166,0.005,4,110,lama,LRU2Q,,1000000,meta_202210_kv-ba1aa56b6bdf91c427b2696e4e1cbc4e,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,30.0,,,,True,True,lama,,0,1.25,,,,72,4194304,1e-05,444,30.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.038125774325906664,0.046365584719174874,
266,266,0.08134058481641071,939930.1241155551,0,meta_202210_kv,1482478166,0.005,4,110,eviction-rate,LRU2Q,,50000,meta_202210_kv-a9d89f274359de69afdebfc56d6ed2fa,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,30.0,,,,True,True,eviction-rate,0.1,0,1.25,,,,72,4194304,,444,30.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.034012776819540694,0.042252587212808904,
0,0,0.1153533616359514,724482.7814164372,0,meta_202210_kv,1482478166,0.005,4,110,free-mem,LRU2Q,,50000,meta_202210_kv-46a95f5d579c38d36210e76e4c2101b1,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,30.0,,,,True,True,free-mem,,0,1.25,,,,72,4194304,,444,30.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.0,0.00823981039326821,
5923,5923,0.11484580070368469,429891.7565933863,0,meta_202210_kv,1482478166,0.005,4,110,tail-age,LRU2Q,,50000,meta_202210_kv-1f756549eee5102d4ba2e3b33fb9224a,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,30.0,,,,True,True,tail-age,0.25,0,1.25,,,,72,4194304,,444,30.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.0005075609322667124,0.008747371325534922,
8590,8590,0.08083269538014902,933668.4987356763,0,meta_202210_kv,1482478166,0.005,4,110,hits,LRU2Q,,50000,meta_202210_kv-f03831f9318dc504751a2dedbfea5771,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,30.0,,,,True,True,hits,0.1,0,1.25,,,,72,4194304,,444,30.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.034520666255802385,0.042760476649070595,
0,0,0.1153533616359514,898363.272733637,0,meta_202210_kv,1482478166,0.005,4,110,disabled,LRU2Q,,50000,meta_202210_kv-291d3a84cf88fc6f7ee41e0e5bc4358b,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,30.0,,,,True,True,disabled,,0,1.25,,,,72,4194304,,444,30.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.0,0.00823981039326821,
258,258,0.06571309529829528,788751.8182305547,0,meta_202210_kv,1482478166,0.005,4,110,marginal-hits-tuned,LRU2Q,cold,50000,meta_202210_kv-1d6d72d6e14c42b0dd32c0fb737f6daa,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,30.0,False,0.3,2.0,True,True,marginal-hits-new,,0,1.25,True,50000.0,True,72,4194304,,444,30.0,50000.0,0.0,0,0.95,0.5,False,False,True,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.04964026633765613,0.05788007673092434,0.02362543665280531
